time,lat,long,photo,lux
2018-04-28-00-34-37,-44.839054674636905,-83.87070685652462,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-37LuxQuest.jpg,5.353850911458333
2018-04-28-00-34-40,-44.932529228523116,-83.64347329302745,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-40LuxQuest.jpg,5.35451171875
2018-04-28-00-34-43,-45.02549834841074,-83.41546108796493,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-43LuxQuest.jpg,5.17255859375
2018-04-28-00-34-46,-45.117958619205204,-83.18667024133701,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-46LuxQuest.jpg,5.3721712239583335
2018-04-28-00-34-48,-45.17931762361401,-83.03370815487457,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-48LuxQuest.jpg,5.23650390625
2018-04-28-00-34-51,-45.270924120762224,-82.80361274211518,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-51LuxQuest.jpg,5.250478515625
2018-04-28-00-34-54,-45.36201835372268,-82.5727386877904,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-54LuxQuest.jpg,5.349417317708333
2018-04-28-00-34-56,-45.42245869768813,-82.41839007292646,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-56LuxQuest.jpg,5.208818359375
2018-04-28-00-34-59,-45.51268208152941,-82.18620462228105,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-34-59LuxQuest.jpg,5.235104166666667
2018-04-28-00-35-02,-45.602379540804606,-81.95324053007026,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-02LuxQuest.jpg,5.416025390625
2018-04-28-00-35-04,-45.66188756394834,-81.79749172642646,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-04LuxQuest.jpg,5.421728515625
2018-04-28-00-35-07,-45.7507039288206,-81.56322306808418,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-07LuxQuest.jpg,5.1825944010416665
2018-04-28-00-35-10,-45.83898412384301,-81.32816893798737,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-10LuxQuest.jpg,5.290084635416667
2018-04-28-00-35-12,-45.89754275069212,-81.17102677575288,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-12LuxQuest.jpg,5.057705078125
2018-04-28-00-35-15,-45.98492819093326,-80.93466124933542,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-15LuxQuest.jpg,5.297718098958334
2018-04-28-00-35-18,-46.071767216040804,-80.69751708135259,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-18LuxQuest.jpg,5.362991536458333
2018-04-28-00-35-20,-46.129359371122355,-80.53898156052742,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-20LuxQuest.jpg,5.421998697916667
2018-04-28-00-35-23,-46.215289981070285,-80.30052599622393,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-23LuxQuest.jpg,5.1920377604166665
2018-04-28-00-35-26,-46.300667345695445,-80.06128496016589,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-26LuxQuest.jpg,5.448245442708333
2018-04-28-00-35-28,-46.35727595353651,-79.90135608075005,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-28LuxQuest.jpg,5.481969401041667
2018-04-28-00-35-31,-46.44172782752913,-79.66081047856053,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-31LuxQuest.jpg,5.055393880208333
2018-04-28-00-35-34,-46.525616210915224,-79.41947940461648,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-34LuxQuest.jpg,5.414700520833334
2018-04-28-00-35-36,-46.581231026232054,-79.25815716660995,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-36LuxQuest.jpg,5.447666015625
2018-04-28-00-35-39,-46.66417684351269,-79.01552835672358,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-39LuxQuest.jpg,5.2854622395833335
2018-04-28-00-35-42,-46.74655575509222,-78.77211407508267,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-42LuxQuest.jpg,5.417633463541667
2018-04-28-00-35-44,-46.80115287222271,-78.60939847848545,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-44LuxQuest.jpg,5.421949869791667
2018-04-28-00-35-47,-46.88257555731843,-78.36468646090223,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-47LuxQuest.jpg,5.386416015625
2018-04-28-00-35-50,-46.96341426124012,-78.11918897156447,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-50LuxQuest.jpg,5.4612890625
2018-04-28-00-35-53,-47.043672399082354,-77.87291284066131,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-53LuxQuest.jpg,5.451549479166666
2018-04-28-00-35-55,-47.096855667054655,-77.70829845147485,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-55LuxQuest.jpg,5.272750651041667
2018-04-28-00-35-58,-47.17613367275099,-77.46073141481855,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-35-58LuxQuest.jpg,5.79515625
2018-04-28-00-36-01,-47.25482428217871,-77.21239256678606,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-01LuxQuest.jpg,5.383984375
2018-04-28-00-36-03,-47.30695228592425,-77.04639847938725,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-03LuxQuest.jpg,5.313037109375
2018-04-28-00-36-06,-47.38464910282773,-76.79676872560162,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-06LuxQuest.jpg,5.257682291666667
2018-04-28-00-36-09,-47.46174486308425,-76.54636716043979,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-09LuxQuest.jpg,5.2644270833333335
2018-04-28-00-36-11,-47.51280735731927,-76.37900020501779,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-11LuxQuest.jpg,5.261614583333333
2018-04-28-00-36-14,-47.58889566467321,-76.12732139448116,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-14LuxQuest.jpg,5.359264322916666
2018-04-28-00-36-17,-47.664372670096434,-75.87487077256831,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-17LuxQuest.jpg,5.090240885416667
2018-04-28-00-36-19,-47.714352579348,-75.7061446095015,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-19LuxQuest.jpg,5.177203776041667
2018-04-28-00-36-22,-47.788805056395724,-75.45242357240303,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-22LuxQuest.jpg,5.2721549479166665
2018-04-28-00-36-25,-47.862642816418145,-75.19793755411753,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-25LuxQuest.jpg,5.2520540364583335
2018-04-28-00-36-27,-47.911523065213345,-75.02785901359503,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-27LuxQuest.jpg,5.449873046875
2018-04-28-00-36-30,-47.98431922138734,-74.77210941031308,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-30LuxQuest.jpg,5.296728515625
2018-04-28-00-36-33,-48.05649041525228,-74.51560848622242,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-33LuxQuest.jpg,5.2601920572916665
2018-04-28-00-36-35,-48.104253928118176,-74.3441912286226,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-35LuxQuest.jpg,5.227197265625
2018-04-28-00-36-38,-48.17537327285093,-74.08644037991384,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-38LuxQuest.jpg,5.318424479166667
2018-04-28-00-36-41,-48.2458539948963,-73.82793821039637,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-41LuxQuest.jpg,5.1141569010416665
2018-04-28-00-36-43,-48.29248711145456,-73.6551890659084,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-43LuxQuest.jpg,5.239449869791667
2018-04-28-00-36-46,-48.3619023239894,-73.39545063215115,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-46LuxQuest.jpg,5.518955078125
2018-04-28-00-36-49,-48.43066866855309,-73.13496770777438,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-49LuxQuest.jpg,5.532669270833333
2018-04-28-00-36-51,-48.47615431333079,-72.96090716696578,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-51LuxQuest.jpg,5.376536458333334
2018-04-28-00-36-54,-48.54384148800561,-72.69920163872757,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-54LuxQuest.jpg,5.510162760416667
2018-04-28-00-36-57,-48.61087296452012,-72.436758450059,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-36-57LuxQuest.jpg,5.276477864583334
2018-04-28-00-37-00,-48.677248742874305,-72.17359809152758,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-00LuxQuest.jpg,5.267073567708334
2018-04-28-00-37-02,-48.721132708291634,-71.99774804115643,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-02LuxQuest.jpg,5.252802734375
2018-04-28-00-37-05,-48.78640541109486,-71.73337873914191,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-05LuxQuest.jpg,5.5823372395833335
2018-04-28-00-37-08,-48.85100875535943,-71.46829226726454,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-08LuxQuest.jpg,5.473844401041666
2018-04-28-00-37-10,-48.893711098050346,-71.29117180170778,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-10LuxQuest.jpg,5.140065104166666
2018-04-28-00-37-13,-48.957197706385614,-71.02489687691484,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-13LuxQuest.jpg,5.355852864583333
2018-04-28-00-37-16,-49.02001495618222,-70.75791844263738,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-37-16LuxQuest.jpg,5.08818359375
